season,player_name,position,adp_overall,source_name
2023,Christian McCaffrey,RB,1.5,fantasypros
2023,Justin Jefferson,WR,1.5,fantasypros
2023,Austin Ekeler,RB,3.5,fantasypros
2023,Ja'Marr Chase,WR,4.5,fantasypros
2023,Travis Kelce,TE,5.0,fantasypros
2023,Bijan Robinson,RB,6.5,fantasypros
2023,Tyreek Hill,WR,6.5,fantasypros
2023,Nick Chubb O,RB,8.0,fantasypros
2023,Saquon Barkley,RB,8.0,fantasypros
2023,Stefon Diggs,WR,11.0,fantasypros
2023,CeeDee Lamb,WR,12.0,fantasypros
2023,A.J. Brown,WR,14.0,fantasypros
2023,Patrick Mahomes II,QB,14.0,fantasypros
2023,Derrick Henry,RB,15.0,fantasypros
2023,Josh Jacobs,RB,15.0,fantasypros
2023,Tony Pollard,RB,15.5,fantasypros
2023,Davante Adams,WR,17.0,fantasypros
2023,Cooper Kupp,WR,18.0,fantasypros
2023,Amon-Ra St. Brown,WR,18.5,fantasypros
2023,Josh Allen,QB,18.5,fantasypros
2023,Garrett Wilson,WR,19.0,fantasypros
2023,Jalen Hurts,QB,21.5,fantasypros
2023,Jaylen Waddle,WR,24.0,fantasypros
2023,Najee Harris,RB,24.0,fantasypros
2023,Chris Olave,WR,25.0,fantasypros
2023,Travis Etienne Jr.,RB,26.0,fantasypros
2023,DeVonta Smith,WR,28.5,fantasypros
2023,Mark Andrews,TE,28.5,fantasypros
2023,Rhamondre Stevenson,RB,28.5,fantasypros
2023,Joe Mixon,RB,30.0,fantasypros
2023,Jahmyr Gibbs,RB,31.0,fantasypros
2023,Lamar Jackson,QB,32.5,fantasypros
2023,Tee Higgins,WR,33.5,fantasypros
2023,Joe Burrow CIN (7) O,QB,34.0,fantasypros
2023,Calvin Ridley,WR,34.5,fantasypros
2023,DK Metcalf,WR,36.0,fantasypros
2023,Deebo Samuel Sr.,WR,38.5,fantasypros
2023,Kenneth Walker III,RB,38.5,fantasypros
2023,Aaron Jones Sr.,RB,39.5,fantasypros
2023,Dameon Pierce,RB,39.5,fantasypros
2023,Justin Herbert LAC (5) O,QB,40.0,fantasypros
2023,Amari Cooper,WR,42.0,fantasypros
2023,Keenan Allen,WR,42.5,fantasypros
2023,Justin Fields,QB,45.5,fantasypros
